feature,mode,holiday,country,date,year
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2021-03-17,2021
holiday,auto,Good Friday,UK,2021-04-02,2021
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2021-04-05,2021
holiday,auto,May Day,UK,2021-05-03,2021
holiday,auto,Spring Bank Holiday,UK,2021-05-31,2021
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2021-07-12,2021
holiday,auto,Summer Bank Holiday [Scotland],UK,2021-08-02,2021
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2021-08-30,2021
holiday,auto,St. Andrew's Day [Scotland],UK,2021-11-30,2021
holiday,auto,Christmas Day,UK,2021-12-25,2021
holiday,auto,Boxing Day,UK,2021-12-26,2021
holiday,auto,Christmas Day (Observed),UK,2021-12-27,2021
holiday,auto,Boxing Day (Observed),UK,2021-12-28,2021
holiday,auto,New Year's Day,UK,2022-01-01,2022
holiday,auto,New Year Holiday [Scotland],UK,2022-01-02,2022
holiday,auto,New Year's Day (Observed),UK,2022-01-03,2022
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2022-01-04,2022
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2022-03-17,2022
holiday,auto,Good Friday,UK,2022-04-15,2022
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2022-04-18,2022
holiday,auto,May Day,UK,2022-05-02,2022
holiday,auto,Spring Bank Holiday,UK,2022-05-30,2022
holiday,auto,Platinum Jubilee of Elizabeth II,UK,2022-06-03,2022
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2022-07-12,2022
holiday,auto,Summer Bank Holiday [Scotland],UK,2022-08-01,2022
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2022-08-29,2022
holiday,auto,St. Andrew's Day [Scotland],UK,2022-11-30,2022
holiday,auto,Christmas Day,UK,2022-12-25,2022
holiday,auto,Boxing Day,UK,2022-12-26,2022
holiday,auto,Christmas Day (Observed),UK,2022-12-27,2022
holiday,auto,New Year's Day,UK,2023-01-01,2023
holiday,auto,New Year Holiday [Scotland],UK,2023-01-02,2023
holiday,auto,New Year's Day (Observed),UK,2023-01-02,2023
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2023-01-03,2023
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2023-03-17,2023
