parameter,mean,sd,median,q05,q95,rhat,ess_bulk,ess_tail
alpha[18],0.23545065881702898,0.18851629820817103,0.18490627162106593,0.019430206855295222,0.5936904398847462,1.0022424764381337,617.3318473395764,334.0641812675316
lam[1],5.041281914521966,1.6200693607485064,5.013558720736963,2.4805426870259977,7.932251798400675,1.0053692000718195,244.4789452687738,131.10813978060236
lam[2],1.256682467949291,1.4986237524625803,0.5972201398459426,0.09755807281515853,4.077852239471017,1.0255755907351125,145.579783869692,178.5207576655523
lam[3],0.7630837758325953,0.8667859714981502,0.4357801955005061,0.11756681525358773,2.621282763446603,1.0002248312352389,209.65996946882757,411.46877429072043
lam[4],1.0450816566659036,0.9189501680617042,0.7134842389641741,0.21814844423890692,3.001368049286953,1.002285744665241,187.02289972273917,402.6702598162947
lam[5],0.528928272210194,0.7316486814703392,0.2589407419307015,0.050774902479650295,1.9179654166699198,1.026766750101788,131.000390562071,441.6053486139186
lam[6],0.5170171451851212,0.6477283674066807,0.2887178540979389,0.048148791962493935,1.9287218741895114,1.0015447321857451,284.7661595064028,373.83139266922365
beta_holidays[1],-0.16745799161251987,0.06455630581113075,-0.16764270263225844,-0.27206802611446246,-0.05959132272976167,1.0034639794201223,397.2097577143326,213.50582220912415
beta_seasonality[1],0.11455749675789485,0.012558935676463103,0.1149155999360609,0.09267313139575031,0.13493450939638876,1.0037093710922558,714.5298875812211,334.44770784087785
beta_seasonality[2],0.012490414491199277,0.010401713423335204,0.01242266246621124,-0.0044320686785421035,0.028629585099654027,1.0053010462098229,579.4249318185325,346.6698388983515
beta_seasonality[3],0.14375350283244787,0.014299810116383505,0.1448169505430874,0.1191169676707461,0.1657754408322958,1.009376300266914,318.12629889944225,221.55924236827067
beta_seasonality[4],0.027894736833954388,0.010159452251069694,0.027457361014802957,0.011036079591815266,0.044217891155606336,1.002688153375259,760.567131616304,410.1191967153554
beta_seasonality[5],0.11517819801859264,0.011777049504494116,0.11571218966621873,0.09548529490704967,0.13366378348008387,1.0028286004717621,497.88634219581036,358.6716131894493
beta_seasonality[6],0.008582471533442425,0.010404980774893156,0.008847683139896857,-0.008650983183703484,0.02676138822779358,1.000366345720583,873.8468652419735,417.9011576324637
beta_seasonality[7],0.1437950367058081,0.014275116658187113,0.1438119721880161,0.11831593389545424,0.16723331715431186,0.9988781127219081,413.01587244625273,285.8291502792844
beta_seasonality[8],0.027145211217570415,0.009869867609520869,0.027003129008009982,0.010964239630553856,0.04317057778246326,1.0022073075951863,895.9545367463413,334.400636332014
beta_seasonality[9],0.11554518045901509,0.011896760507127471,0.1160564451333195,0.09537567193269378,0.13521214203588183,0.9967970019810082,623.4299956283268,516.7290143529129
beta_seasonality[10],0.010012594255752186,0.01140677570726054,0.010054014547528535,-0.009460181481603248,0.028429097470172606,1.00282662816012,632.7075969689171,372.42645073748207
beta_seasonality[11],0.14391670779769436,0.013218476106093724,0.14389301446186664,0.12085185666107594,0.16406887682348414,1.0010284074009865,445.217158157679,353.4764440417233
beta_seasonality[12],0.025750295610949877,0.01093013394595517,0.02628208289860009,0.008679889805638266,0.04372795804787419,1.0247297305597178,979.5693334530625,339.1326253600675
