observation,date,panel,geo,residual
287,2024-08-05,DE,DE,-145878.97775074793
288,2024-08-12,DE,DE,-157736.5142952439
289,2024-08-19,DE,DE,-253512.02448814944
290,2024-08-26,DE,DE,-184542.1225324258
291,2024-09-02,DE,DE,-148054.42843183596
292,2024-09-09,DE,DE,-143018.69300694566
293,2024-09-16,DE,DE,-205441.0878226813
294,2024-09-23,DE,DE,116759.32507585804
295,2024-09-30,DE,DE,56221.57194411359
296,2024-10-07,DE,DE,98781.4374477712
297,2024-10-14,DE,DE,77042.38104957202
298,2024-10-21,DE,DE,105701.9627579411
299,2024-10-28,DE,DE,-222721.309674385
300,2024-11-04,DE,DE,416718.8660507819
301,2024-11-11,DE,DE,236081.79026996344
302,2024-11-18,DE,DE,184825.55633552163
303,2024-11-25,DE,DE,-208124.02128703147
304,2024-12-02,DE,DE,-110648.82985749189
305,2024-12-09,DE,DE,-58647.25940647442
306,2024-12-16,DE,DE,-273463.59771963116
307,2024-12-23,DE,DE,230933.8019033675
308,2024-12-30,DE,DE,-211940.34263879573
309,2025-01-06,DE,DE,-295437.5622957279
310,2025-01-13,DE,DE,-157665.80525297765
311,2025-01-20,DE,DE,407984.16171404487
312,2025-01-27,DE,DE,152047.94400575384
